"venue_id","district_id","name","district","category","cuisine","phone","address","latitude","longitude","website","opening_hours_dict","opening_hours","postal_code","neighborhood","takeaway","wheelchair_accessible"
"V0013","11004004","Ristorante Salve","Charlottenburg-Wilmersdorf","restaurant","pizza","","Damaschkestraße 31, 10711 Berlin","52.500979","13.297644","","{""Fr"":[[""16:00"",""22:00""]],""Sa"":[[""16:00"",""22:00""]],""Su"":[[""16:00"",""22:00""]],""Th"":[[""16:00"",""22:00""]],""Tu"":[[""16:00"",""22:00""]],""We"":[[""16:00"",""22:00""]]}","Tu-Su 16:00-22:00; Mo off","10711.0","Halensee","","limited"
"V0014","11001001","Starbucks","Mitte","cafe","coffee_shop","","Starbucks, Friedrichstraße, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland","52.519403","13.388738","","{""Fr"":[[""07:00"",""21:00""]],""Mo"":[[""07:00"",""21:00""]],""Sa"":[[""08:00"",""21:00""]],""Su"":[[""09:00"",""19:30""]],""Th"":[[""07:00"",""21:00""]],""Tu"":[[""07:00"",""21:00""]],""We"":[[""07:00"",""21:00""]]}","Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 09:00-19:30","10117.0","Mitte","yes","yes"
"V0015","11001001","Starbucks","Mitte","cafe","coffee_shop","+493020617990","Pariser Platz 4A, 10117 Berlin","52.516730","13.379773","https://www.starbucks.de/store-locator/store/2099/pariser-platz-pariser-platz-4-a-berlin-be-10117-de","{""Fr"":[[""08:00"",""21:00""]],""Mo"":[[""08:00"",""21:00""]],""Sa"":[[""09:00"",""21:00""]],""Su"":[[""09:00"",""21:00""]],""Th"":[[""08:00"",""21:00""]],""Tu"":[[""08:00"",""21:00""]],""We"":[[""08:00"",""21:00""]]}","Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00","10117.0","Mitte","yes","yes"
"V0016","11001001","Brammibal's Donuts","Mitte","cafe","donut","","Alte Potsdamer Straße 7, 10785 Berlin","52.507931","13.373732","","{""Fr"":[[""09:00"",""21:00""]],""Mo"":[[""09:00"",""21:00""]],""PH"":[[""10:00"",""20:00""]],""Sa"":[[""10:00"",""21:00""]],""Su"":[[""10:00"",""20:00""]],""Th"":[[""09:00"",""21:00""]],""Tu"":[[""09:00"",""21:00""]],""We"":[[""09:00"",""21:00""]]}","Mo-Fr 09:00-21:00; Sa 10:00-21:00; Su,PH 10:00-20:00","10785.0","Tiergarten","","yes"
"V0072","11003003","Mad Meals","Pankow","restaurant","mexican","","Knaackstraße 99, 10435 Berlin","52.540618","13.414039","","","","10435.0","Prenzlauer Berg","",""
"V0017","11001001","Espresso House","Mitte","cafe","coffee_shop","","Potsdamer Platz 5, 10785 Berlin","52.510587","13.376430","","{""Fr"":[[""07:30"",""20:00""]],""Mo"":[[""07:30"",""20:00""]],""Sa"":[[""08:30"",""20:00""]],""Su"":[[""08:30"",""20:00""]],""Th"":[[""07:30"",""20:00""]],""Tu"":[[""07:30"",""20:00""]],""We"":[[""07:30"",""20:00""]]}","Mo-Fr 07:30-20:00; Sa-Su 08:30-20:00","10785.0","Tiergarten","yes","yes"
"V0018","11012012","Dalmacija","Reinickendorf","restaurant","balkan","+49304134103","Quäkerstraße 2, 13403 Berlin","52.572519","13.308270","https://restaurant-dalmacija.wixsite.com/restaurant-dalmacija","{""Fr"":[[""12:00"",""22:00""]],""Sa"":[[""12:00"",""22:00""]],""Su"":[[""12:00"",""22:00""]],""Th"":[[""12:00"",""22:00""]],""Tu"":[[""12:00"",""22:00""]],""We"":[[""12:00"",""22:00""]]}","Tu-Su 12:00-22:00","13403.0","Reinickendorf","","yes"
"V0019","11012012","Schlemmerküche","Reinickendorf","restaurant","german","+493043605808","Wittestraße 49, 13509 Berlin","52.577115","13.307315","https://www.schlemmerkueche.de/","{""Fr"":[[""11:30"",""13:30""]],""Mo"":[[""11:30"",""13:30""]],""Th"":[[""11:30"",""13:30""]],""Tu"":[[""11:30"",""13:30""]],""We"":[[""11:30"",""13:30""]]}","Mo-Fr 11:30-13:30","13509.0","Tegel","","limited"
"V0020","11004004","Taverna Athos","Charlottenburg-Wilmersdorf","restaurant","greek","+493081487870","Bundesplatz 2, 10715 Berlin","52.480030","13.327716","https://www.taverna-athos-berlin.de","{""Fr"":[[""12:00"",""23:00""]],""Mo"":[[""12:00"",""23:00""]],""Sa"":[[""12:00"",""23:00""]],""Su"":[[""12:00"",""23:00""]],""Th"":[[""12:00"",""23:00""]],""Tu"":[[""12:00"",""23:00""]],""We"":[[""12:00"",""23:00""]]}","Mo-Su 12:00-23:00","10715.0","Wilmersdorf","",""
"V0021","11012012","Albert's","Reinickendorf","bar","","+493036726707","Scharnweberstraße 16, 13405 Berlin","52.563820","13.328849","https://www.alberts-restaurants.de/","","","13405.0","Reinickendorf","","yes"
"V0022","11012012","Pizzaria Tamara","Reinickendorf","restaurant","italian;pizza","","Zobeltitzstraße 90, 13403 Berlin","52.570130","13.309819","","","","13403.0","Reinickendorf","","no"
"V0023","11004004","BLOCK HOUSE","Charlottenburg-Wilmersdorf","restaurant","steak_house","+49303017091","Theodor-Heuss-Platz 12, 14052 Berlin","52.509674","13.270761","https://www.block-house.de/restaurants/berlin/theodor-heuss-platz/","{""Fr"":[[""12:00"",""23:00""]],""Mo"":[[""12:00"",""23:00""]],""Sa"":[[""12:00"",""23:00""]],""Su"":[[""12:00"",""22:00""]],""Th"":[[""12:00"",""23:00""]],""Tu"":[[""12:00"",""23:00""]],""We"":[[""12:00"",""23:00""]]}","Mo-Sa 12:00-23:00; Su 12:00-22:00","14052.0","Westend","","yes"
"V0024","11004004","Café & Reisebüro - Eishandwerk","Charlottenburg-Wilmersdorf","cafe","","","Heerstraße 1, 14052 Berlin","52.508908","13.270851","","{""Fr"":[[""10:00"",""17:00""]],""Mo"":[[""10:00"",""17:00""]],""Th"":[[""10:00"",""17:00""]],""Tu"":[[""10:00"",""17:00""]],""We"":[[""10:00"",""17:00""]]}","Mo-Fr 10:00-17:00","14052.0","Westend","","yes"
"V0025","11004004","JOE'S Restaurant & Wirtshaus","Charlottenburg-Wilmersdorf","restaurant","german","+49302621020","Theodor-Heuss-Platz 10, 14052 Berlin","52.509874","13.270883","https://www.joes-berlin.de","{""Fr"":[[""10:00"",""00:00""]],""Mo"":[[""10:00"",""00:00""]],""Sa"":[[""10:00"",""00:00""]],""Su"":[[""10:00"",""00:00""]],""Th"":[[""10:00"",""00:00""]],""Tu"":[[""10:00"",""00:00""]],""We"":[[""10:00"",""00:00""]]}","10:00-24:00","14052.0","Westend","","limited"
"V0026","11004004","Lindenwirtin","Charlottenburg-Wilmersdorf","restaurant","regional","+49303027747","Lindenallee 28, 14050 Berlin","52.510621","13.271661","","{""Fr"":[[""15:00"",""late""]],""Mo"":[[""15:00"",""late""]],""PH"":[[""15:00"",""late""]],""Sa"":[[""15:00"",""late""]],""Su"":[[""15:00"",""late""]],""Th"":[[""15:00"",""late""]],""Tu"":[[""15:00"",""late""]],""We"":[[""15:00"",""late""]]}","Mo-Su,PH 15:00+","14050.0","Westend","","yes"
"V0027","11002002","Cancun","Friedrichshain-Kreuzberg","restaurant","","","Anhalter Straße 1, 10963 Berlin","52.504469","13.382747","https://cancun-potsdamerplatz.de/","{""Fr"":[[""11:30"",""02:00""]],""Mo"":[[""11:30"",""02:00""]],""PH"":[[""11:30"",""02:00""]],""Sa"":[[""11:30"",""02:00""]],""Su"":[[""11:30"",""02:00""]],""Th"":[[""11:30"",""02:00""]],""Tu"":[[""11:30"",""02:00""]],""We"":[[""11:30"",""02:00""]]}","PH,Mo-Su 11:30-02:00","10963.0","Kreuzberg","","yes"
"V0028","11001001","Espresso House","Mitte","cafe","coffee_shop","","Potsdamer Platz 10, 10785 Berlin","52.508269","13.377004","","{""Fr"":[[""06:00"",""23:00""]],""Mo"":[[""06:00"",""23:00""]],""Sa"":[[""07:00"",""00:00""]],""Su"":[[""07:30"",""22:00""]],""Th"":[[""06:00"",""23:00""]],""Tu"":[[""06:00"",""23:00""]],""We"":[[""06:00"",""23:00""]]}","Mo-Fr 06:00-23:00; Sa 07:00-24:00; Su 07:30-22:00","10785.0","Tiergarten","yes","yes"
"V0029","11001001","Bocca di Bacco","Mitte","restaurant","italian","","Friedrichstraße 167;168, 10117 Berlin","52.515112","13.388908","","{""Fr"":[[""12:00"",""00:00""]],""Mo"":[[""12:00"",""00:00""]],""Sa"":[[""12:00"",""00:00""]],""Th"":[[""12:00"",""00:00""]],""Tu"":[[""12:00"",""00:00""]],""We"":[[""12:00"",""00:00""]]}","Mo-Sa 12:00-24:00","10117.0","Mitte","","no"
"V0030","11001001","Restaurant Borchardt","Mitte","restaurant","","","Französische Straße 47, 10117 Berlin","52.515003","13.390388","https://www.borchardt-restaurant.de/","{""Fr"":[[""11:30"",""00:00""]],""Mo"":[[""11:30"",""00:00""]],""Sa"":[[""11:30"",""00:00""]],""Su"":[[""11:30"",""00:00""]],""Th"":[[""11:30"",""00:00""]],""Tu"":[[""11:30"",""00:00""]],""We"":[[""11:30"",""00:00""]]}","11:30-24:00","10117.0","Mitte","","limited"
"V0031","11001001","Heritage","Mitte","restaurant","","","Französische Straße 25, 10117 Berlin","52.514689","13.390928","","{""Fr"":[[""06:30"",""23:00""]],""Mo"":[[""06:30"",""23:00""]],""Sa"":[[""06:30"",""23:00""]],""Su"":[[""06:30"",""23:00""]],""Th"":[[""06:30"",""23:00""]],""Tu"":[[""06:30"",""23:00""]],""We"":[[""06:30"",""23:00""]]}","Mo-Su 06:30-23:00","10117.0","Mitte","","no"
"V0032","11001001","Lutter & Wegner","Mitte","restaurant","german","+49302029540","Charlottenstraße 56, 10117 Berlin","52.513212","13.391178","http://www.l-w-berlin.de","{""Fr"":[[""12:00"",""00:00""]],""Mo"":[[""12:00"",""00:00""]],""PH"":[[""12:00"",""00:00""]],""Sa"":[[""12:00"",""00:00""]],""Su"":[[""12:00"",""00:00""]],""Th"":[[""12:00"",""00:00""]],""Tu"":[[""12:00"",""00:00""]],""We"":[[""12:00"",""00:00""]]}","Mo-Su,PH 12:00-24:00","10117.0","Mitte","","no"
"V0033","11001001","Victor & Victoria","Mitte","restaurant","","+4930992115611","Charlottenstraße 59, 10117 Berlin","52.512405","13.391307","https://victorvictoriaberlin.com/","","","10117.0","Mitte","","yes"
"V0551","11005005","Cafe Bricks","Spandau","restaurant","","","Wilhelmstraße 152, 13595 Berlin","52.525510","13.194325","","","","13595.0","Wilhelmstadt","","limited"
"V0034","11001001","Bellboy Berlin","Mitte","bar","","+493020077070","Mohrenstraße 30, 10117 Berlin","52.512033","13.391942","https://bellboybar.com/","{""Fr"":[[""18:00"",""late""]],""Sa"":[[""18:00"",""late""]],""Su"":[[""18:00"",""late""]],""Th"":[[""18:00"",""late""]],""Tu"":[[""18:00"",""late""]],""We"":[[""18:00"",""late""]]}","Tu-Su 18:00+","10117.0","Mitte","","yes"
"V0035","11001001","Fellini","Mitte","restaurant","","","Fellini, Mohrenstraße, Friedrichswerder, Mitte, Berlin, 10117, Deutschland","52.512054","13.392276","","","","10117.0","Mitte","","no"
"V0036","11001001","Newton Bar","Mitte","bar","","","Charlottenstraße 57, 10117 Berlin","52.512931","13.391230","http://www.newton-bar.de","","","10117.0","Mitte","","no"
"V0037","11001001","Espresso House","Mitte","cafe","coffee_shop","","Invalidenstraße 35, 10115 Berlin","52.530760","13.383146","","{""Fr"":[[""06:30"",""19:30""]],""Mo"":[[""06:30"",""19:30""]],""Sa"":[[""08:00"",""20:00""]],""Su"":[[""08:00"",""20:00""]],""Th"":[[""06:30"",""19:30""]],""Tu"":[[""06:30"",""19:30""]],""We"":[[""06:30"",""19:30""]]}","Mo-Fr 06:30-19:30; Sa,Su 08:00-20:00","10115.0","Mitte","yes","limited"
"V0038","11001001","Starbucks","Mitte","cafe","coffee_shop","","Friedrichstraße 61, 10117 Berlin","52.511072","13.390018","","{""Fr"":[[""07:00"",""20:00""]],""Mo"":[[""07:00"",""20:00""]],""Sa"":[[""08:00"",""20:00""]],""Su"":[[""09:00"",""19:00""]],""Th"":[[""07:00"",""20:00""]],""Tu"":[[""07:00"",""20:00""]],""We"":[[""07:00"",""20:00""]]}","Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 09:00-19:00","10117.0","Mitte","yes","yes"
"V0039","11001001","Einstein Kaffee","Mitte","cafe","coffee_shop","","Einstein Kaffee, Kronenstraße, Friedrichswerder, Mitte, Berlin, 10117, Deutschland","52.511357","13.389471","","{""Fr"":[[""07:00"",""20:00""]],""Mo"":[[""07:00"",""20:00""]],""PH"":[[""09:00"",""19:00""]],""Sa"":[[""09:00"",""19:00""]],""Su"":[[""09:00"",""19:00""]],""Th"":[[""07:00"",""20:00""]],""Tu"":[[""07:00"",""20:00""]],""We"":[[""07:00"",""20:00""]]}","Mo-Fr 07:00-20:00; PH,Sa-Su 09:00-19:00","10117.0","Mitte","yes","yes"
"V0040","11001001","Maximilians","Mitte","restaurant","bavarian","","Friedrichstraße 185-190, 10117 Berlin","52.511344","13.389181","","{""Fr"":[[""11:30"",""23:30""]],""Mo"":[[""11:30"",""23:30""]],""Sa"":[[""11:30"",""23:30""]],""Su"":[[""11:30"",""23:30""]],""Th"":[[""11:30"",""23:30""]],""Tu"":[[""11:30"",""23:30""]],""We"":[[""11:30"",""23:30""]]}","Mo-Su 11:30-23:30","10117.0","Mitte","","yes"
"V0041","11001001","Izumi Sushi Bar","Mitte","restaurant","japanese","+493020649938","Kronenstraße 66, 10117 Berlin","52.511292","13.388712","https://www.sushi-izumi.de/","{""Fr"":[[""11:00"",""23:00""]],""Mo"":[[""11:00"",""23:00""]],""Sa"":[[""12:00"",""23:00""]],""Su"":[[""01:00"",""23:00""]],""Th"":[[""11:00"",""23:00""]],""Tu"":[[""11:00"",""23:00""]],""We"":[[""11:00"",""23:00""]]}","Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 01:00-23:00","10117.0","Mitte","","yes"
"V0042","11001001","Beast Berlin","Mitte","restaurant","steak_house","","Karl-Liebknecht-Straße 29, 10178 Berlin","52.524290","13.411853","","{""Fr"":[[""17:00"",""02:00""]],""Sa"":[[""17:00"",""02:00""]],""Th"":[[""17:00"",""02:00""]],""Tu"":[[""17:00"",""02:00""]],""We"":[[""17:00"",""02:00""]]}","Tu-Sa 17:00-02:00; Su,Mo off","10178.0","Mitte","","no"
"V0043","11001001","Aapka - Restaurant Alexanderplatz","Mitte","restaurant","indian","","Karl-Liebknecht-Straße 23, 10178 Berlin","52.523599","13.410970","","{""Fr"":[[""11:30"",""late""]],""Mo"":[[""11:30"",""late""]],""Sa"":[[""11:30"",""late""]],""Su"":[[""11:30"",""late""]],""Th"":[[""11:30"",""late""]],""Tu"":[[""11:30"",""late""]],""We"":[[""11:30"",""late""]]}","11:30+","10178.0","Mitte","",""
"V0044","11001001","Der Alte Fritz","Mitte","restaurant","german","+493096200600","Panoramastraße 1, 10178 Berlin","52.521430","13.409207","https://der-alte-fritz.eatbu.com/","{""Fr"":[[""12:00"",""22:00""]],""Mo"":[[""12:00"",""22:00""]],""PH"":[[""12:00"",""22:00""]],""Sa"":[[""12:00"",""22:00""]],""Su"":[[""12:00"",""22:00""]],""Th"":[[""12:00"",""22:00""]],""Tu"":[[""12:00"",""22:00""]],""We"":[[""12:00"",""22:00""]]}","PH,Mo-Su 12:00-22:00","10178.0","Mitte","yes",""
"V0045","11001001","Carambar","Mitte","restaurant","","","Rathausstraße 1, 10178 Berlin","52.520351","13.412220","https://carambar.de","{""Fr"":[[""12:00-18:00"",""late""]],""Mo"":[[""12:00-18:00"",""late""]],""PH"":[[""12:00-18:00"",""late""]],""Sa"":[[""12:00-18:00"",""late""]],""Su"":[[""12:00-18:00"",""late""]],""Th"":[[""12:00-18:00"",""late""]],""Tu"":[[""12:00-18:00"",""late""]],""We"":[[""12:00-18:00"",""late""]]}","Mo-Su,PH 12:00-18:00+","10178.0","Mitte","","yes"
"V0046","11001001","Matzbach","Mitte","restaurant","","","Matzbach, 1, Rathausstraße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland","52.520211","13.411808","","","","10178.0","Mitte","",""
"V0047","11001001","Segafredo","Mitte","cafe","coffee_shop","","Segafredo, 1-14, Rathausstraße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland","52.519532","13.410351","","","","10178.0","Mitte","yes",""
"V0048","11001001","Azem","Mitte","restaurant","turkish","","Azem, Rathausstraße, Friedrichswerder, Mitte, Berlin, 10178, Deutschland","52.518012","13.407163","","","","10178.0","Mitte","",""
"V0049","11001001","Mutter Hoppe","Mitte","restaurant","german","","Rathausstraße 21, 10178 Berlin","52.517587","13.405899","","{""Fr"":[[""11:30-22:00"",""late""]],""Mo"":[[""11:30-22:00"",""late""]],""Sa"":[[""11:30-22:00"",""late""]],""Th"":[[""11:30-22:00"",""late""]],""Tu"":[[""11:30-22:00"",""late""]],""We"":[[""11:30-22:00"",""late""]]}","Mo-Sa 11:30-22:00+","10178.0","Mitte","","no"
"V0050","11001001","Julchen Hoppe","Mitte","restaurant","regional","","Rathausstraße 25, 10178 Berlin","52.517268","13.405025","https://julchen-hoppe.eatbu.com/?lang=de","{""Fr"":[[""11:30"",""late""]],""Mo"":[[""11:30"",""late""]],""Th"":[[""11:30"",""late""]],""Tu"":[[""11:30"",""late""]],""We"":[[""11:30"",""late""]]}","Mo-Fr 11:30+","10178.0","Mitte","","yes"
"V0051","11001001","Shezan","Mitte","restaurant","indian","","Neue Roßstraße 13, 10179 Berlin","52.512146","13.408129","","{""Fr"":[[""11:30"",""23:30""]],""Mo"":[[""11:30"",""23:30""]],""Sa"":[[""11:30"",""23:30""]],""Su"":[[""11:30"",""23:30""]],""Th"":[[""11:30"",""23:30""]],""Tu"":[[""11:30"",""23:30""]],""We"":[[""11:30"",""23:30""]]}","Mo-Su 11:30-23:30","10179.0","Mitte","","limited"
"V0052","11012012","Trattoria Monticchiello","Reinickendorf","restaurant","italian","","Berliner Straße 70, 13507 Berlin","52.582722","13.290115","","{""Fr"":[[""15:00"",""22:00""]],""Sa"":[[""15:00"",""22:00""]],""Su"":[[""15:00"",""22:00""]]}","Mo off; Tu-Th 12:00-22:00; Fr-Su 15:00-22:00","13507.0","Tegel","","no"
"V0053","11012012","No Limit Shishabar","Reinickendorf","bar","","+4915788084160","No Limit Shishabar, Scharnweberstraße, Reinickendorf, Berlin, 13405, Deutschland","52.565561","13.320928","","","","13405.0","Reinickendorf","",""
"V0054","11009009","Caffè Kamee","Treptow-Köpenick","cafe","","+493063922144","Rudower Chaussee 25, 12489 Berlin","52.429687","13.530639","https://www.kamee-caffe.de/","{""Fr"":[[""08:00"",""15:00""]],""Mo"":[[""08:00"",""15:00""]],""Th"":[[""08:00"",""15:00""]],""Tu"":[[""08:00"",""15:00""]],""We"":[[""08:00"",""15:00""]]}","PH off; Mo-Fr 08:00-15:00","12489.0","Adlershof","","limited"
"V0055","11009009","Oase Adlershof","Treptow-Köpenick","restaurant","","","Rudower Chaussee 25, 12489 Berlin","52.429375","13.530103","","{""Fr"":[[""11:00"",""15:00""]],""Mo"":[[""11:00"",""15:00""]],""Th"":[[""11:00"",""15:00""]],""Tu"":[[""11:00"",""15:00""]],""We"":[[""11:00"",""15:00""]]}","Mo-Fr 11:00-15:00","12489.0","Adlershof","","yes"
"V0056","11012012","Pula-Grill","Reinickendorf","restaurant","balkan","","Auguste-Viktoria-Allee 79, 13403 Berlin","52.570185","13.320660","","{""Fr"":[[""11:30"",""23:00""]],""Mo"":[[""11:30"",""23:00""]],""Sa"":[[""11:30"",""23:00""]],""Su"":[[""11:30"",""23:00""]],""Th"":[[""11:30"",""23:00""]],""Tu"":[[""11:30"",""23:00""]],""We"":[[""11:30"",""23:00""]]}","Mo-Su 11:30-23:00","13403.0","Reinickendorf","","limited"
"V0057","11001001","Paris-Moskau","Mitte","restaurant","regional","","Alt-Moabit 141, 10557 Berlin","52.522590","13.364478","https://www.paris-moskau.de/","{""Fr"":[[""12:00"",""15:00""],[""18:00"",""late""],[""Sa 18:00"",""late""]],""Mo"":[[""12:00"",""15:00""],[""18:00"",""late""],[""Sa 18:00"",""late""]],""Th"":[[""12:00"",""15:00""],[""18:00"",""late""],[""Sa 18:00"",""late""]],""Tu"":[[""12:00"",""15:00""],[""18:00"",""late""],[""Sa 18:00"",""late""]],""We"":[[""12:00"",""15:00""],[""18:00"",""late""],[""Sa 18:00"",""late""]]}","Mo-Fr 12:00-15:00,18:00+, Sa 18:00+","10557.0","Moabit","","yes"
"V0058","11003003","en passant","Pankow","bar","","","Schönhauser Allee 58, 10437 Berlin","52.544225","13.412882","","","","10437.0","Prenzlauer Berg","","yes"
"V0059","11009009","Strandlust","Treptow-Köpenick","restaurant","fish","","Seddinpromenade 3A, 12527 Berlin","52.376231","13.657224","","{""Fr"":[[""12:00"",""dusk""]],""Sa"":[[""12:00"",""dusk""]],""Su"":[[""12:00"",""dusk""]],""Th"":[[""12:00"",""dusk""]],""Tu"":[[""12:00"",""dusk""]],""We"":[[""12:00"",""dusk""]]}","Tu-Su 12:00-dusk; Mo off","12527.0","Schmöckwitz","","no"
"V0060","11012012","Can","Reinickendorf","bar","","","Ollenhauerstraße 139, 13403 Berlin","52.564642","13.327947","","{""Fr"":[[""00:00"",""""],[""07:00"",""""]],""Mo"":[[""00:00"",""""],[""07:00"",""""]],""Sa"":[[""00:00"",""""],[""07:00"",""""]],""Su"":[[""00:00"",""""],[""07:00"",""""]],""Th"":[[""00:00"",""""],[""07:00"",""""]],""Tu"":[[""00:00"",""""],[""07:00"",""""]],""We"":[[""00:00"",""""],[""07:00"",""""]]}","24/7","13403.0","Reinickendorf","","yes"
