district,hashtags,source
Treptow-Köpenick,#high_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,#mobility;#moderate,mobility.ipynb:rule-based
Friedrichshain-Kreuzberg,#mobility;#well-connected,mobility.ipynb:rule-based
Lichtenberg,#mobility;#moderate,mobility.ipynb:rule-based
Marzahn-Hellersdorf,#mobility;#moderate,mobility.ipynb:rule-based
Mitte,#mobility;#well-connected,mobility.ipynb:rule-based
Neukölln,#mobility;#well-connected,mobility.ipynb:rule-based
Pankow,#mobility;#remote,mobility.ipynb:rule-based
Reinickendorf,#mobility;#moderate,mobility.ipynb:rule-based
Spandau,#mobility;#remote,mobility.ipynb:rule-based
Steglitz-Zehlendorf,#mobility;#remote,mobility.ipynb:rule-based
Tempelhof-Schöneberg,#mobility;#well-connected,mobility.ipynb:rule-based
Treptow-Köpenick,#mobility;#remote,mobility.ipynb:rule-based
Mitte,#venues;#vibrant,venues.ipynb:rule-based
Friedrichshain-Kreuzberg,#venues;#vibrant,venues.ipynb:rule-based
Pankow,#venues;#vibrant,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,#venues;#vibrant,venues.ipynb:rule-based
Spandau,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,#venues;#average,venues.ipynb:rule-based
Steglitz-Zehlendorf,#venues;#average,venues.ipynb:rule-based
Tempelhof-Schöneberg,#venues;#average,venues.ipynb:rule-based
Marzahn-Hellersdorf,#venues;#sparse,venues.ipynb:rule-based
Neukölln,#venues;#average,venues.ipynb:rule-based
Lichtenberg,#venues;#sparse,venues.ipynb:rule-based
Reinickendorf,#venues;#sparse,venues.ipynb:rule-based
